#ZVView-data-copy:  27-Nov-2023 14:53:58
#=======================================
#
"#name:   ENDF/B-VIII.0: TM-171(N,G)TM-172"
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  20131
#data...
#            X            Y
#          MeV        barns
    4.81275e-6       2234.8 
    4.84587e-6      2755.27 
     4.8566e-6      2915.53 
    4.86827e-6      3075.28 
    4.87773e-6      3188.73 
     4.8872e-6      3283.71 
    4.89666e-6      3356.87 
    4.90612e-6      3405.47 
    4.91584e-6      3427.83 
    4.91924e-6      3428.86 
    4.92883e-6      3412.69 
    4.93829e-6      3369.76 
    4.94776e-6      3301.68 
    4.95722e-6      3210.97 
    4.96668e-6      3100.85 
    4.97772e-6      2952.74 
    4.99192e-6      2740.73 
    5.02977e-6      2142.35 
    5.04239e-6      1953.83 
      5.055e-6      1777.28 
    5.06447e-6      1653.81 
    5.07393e-6       1538.4 
    5.08339e-6      1431.11 
    5.09286e-6      1331.77 
    5.10232e-6       1240.1 
    5.11178e-6       1155.7 
    5.12125e-6      1078.11 
    5.13071e-6      1006.87 
    5.14017e-6      941.466 
    5.14963e-6      881.438 
     5.1591e-6      826.326 
    5.16856e-6      775.697 
    5.17802e-6      729.152 
    5.18749e-6       686.32 
    5.19695e-6      646.863 
    5.20641e-6      610.472 
     5.2184e-6      568.345 
    5.22975e-6        532.1 
    5.24111e-6      499.033 
    5.25247e-6      468.807 
    5.26445e-6      439.657 
    5.27707e-6      411.698 
    5.28969e-6      386.225 
     5.3023e-6      362.967 
    5.31492e-6      341.684 
    5.32754e-6      322.166 
    5.34015e-6      304.231 
    5.35277e-6      287.717 
    5.36539e-6      272.483 
    5.37801e-6      258.404 
    5.39693e-6      239.212 
    5.40955e-6      227.562 
    5.42848e-6        211.6 
     5.4474e-6      197.241 
    5.46633e-6      184.281 
    5.48525e-6      172.547 
     5.5046e-6      161.667 
    5.52395e-6      151.781 
    5.54329e-6      142.774 
    5.56264e-6      134.548 
    5.58226e-6      126.912 
    5.60188e-6      119.909 
     5.6215e-6       113.47 
    5.64112e-6      107.535 
    5.66102e-6       101.98 
    5.68091e-6      96.8464 
    5.71076e-6      89.8497 
    5.74088e-6      83.5376 
    5.77115e-6      77.8522 
    5.80141e-6      72.7376 
    5.83211e-6      68.0586 
     5.8628e-6      63.8267 
    5.89364e-6        59.97 
    5.92476e-6      56.4307 
    5.95589e-6      53.2051 
    5.98731e-6       50.231 
    6.01887e-6      47.4963 
    6.05044e-6      44.9878 
    6.09312e-6      41.9132 
     6.1358e-6      39.1577 
    6.17908e-6      36.6457 
    6.22236e-6       34.382 
    6.26626e-6      32.3098 
    6.31015e-6      30.4336 
    6.35466e-6      28.7024 
    6.39917e-6      27.1238 
    6.44431e-6      25.6625 
    6.48946e-6      24.3258 
    6.53523e-6       23.083 
    6.58101e-6      21.9433 
    6.62743e-6       20.883 
     6.6974e-6      19.4427 
    6.76801e-6       18.151 
    6.83963e-6      16.9838 
    6.91191e-6      15.9322 
    6.98488e-6       14.982 
    7.05853e-6      14.1208 
    7.13321e-6      13.3347 
     7.2086e-6      12.6189 
     7.2847e-6      11.9654 
    7.36151e-6      11.3675 
     7.4394e-6      10.8167 
    7.51803e-6      10.3109 
    7.62409e-6      9.69803 
    7.73166e-6      9.14694 
    7.84074e-6      8.65259 
    7.95136e-6      8.20392 
    8.06353e-6      7.79596 
     8.1773e-6      7.42532 
    8.29266e-6      7.08785 
    8.40966e-6      6.77998 
     8.5283e-6      6.49861 
    8.64862e-6      6.24105 
    8.83207e-6      5.89461 
    9.01986e-6      5.58918 
    9.21119e-6      5.32032 
    9.40703e-6      5.08239 
    9.60657e-6      4.87212 
    9.81083e-6      4.68932 
    1.00189e-5      4.52437 
     1.0232e-5      4.37892 
    1.05227e-5      4.21309 
    1.08217e-5      4.07495 
    1.11292e-5      3.96118 
    1.14454e-5      3.86967 
    1.17707e-5      3.79963 
    1.21051e-5      3.74989 
    1.24491e-5      3.71898 
    1.28058e-5      3.70719 
    1.32626e-5      3.72135 
    1.36394e-5      3.75601 
     1.4027e-5      3.81273 
    1.44256e-5      3.89481 
    1.48355e-5      4.00503 
    1.52571e-5      4.14802 
    1.55807e-5      4.28069 
     1.5912e-5      4.43914 
    1.62495e-5      4.62585 
     1.6595e-5      4.84973 
     1.6947e-5      5.11548 
    1.71861e-5      5.32104 
    1.74285e-5      5.55334 
    1.76744e-5      5.81654 
    1.79238e-5       6.1158 
    1.81767e-5      6.45786 
    1.84331e-5      6.85061 
    1.86281e-5      7.18508 
     1.8825e-5      7.55872 
    1.90237e-5      7.97777 
    1.92243e-5      8.44983 
    1.94277e-5      8.98686 
    1.96331e-5      9.59842 
    1.98403e-5      10.2957 
    1.99798e-5      10.8198 
    2.01202e-5      11.4002 
