 8.0816E+06  0            Lin-Lin
 8.3E+06     0.0201735    Lin-Lin
 8.35E+06    0.0316016    Lin-Lin
 8.4E+06     0.0478864    Lin-Lin
 8.45E+06    0.0677444    Lin-Lin
 8.5E+06     0.0916088    Lin-Lin
 8.6E+06     0.148268     Lin-Lin
 8.7E+06     0.214631     Lin-Lin
 8.8E+06     0.288193     Lin-Lin
 8.9E+06     0.366846     Lin-Lin
 9E+06       0.448801     Lin-Lin
 9.3E+06     0.704997     Lin-Lin
 9.4E+06     0.787967     Lin-Lin
 9.5E+06     0.868166     Lin-Lin
 9.6E+06     0.945004     Lin-Lin
 9.7E+06     1.01808      Lin-Lin
 9.8E+06     1.08716      Lin-Lin
 9.90001E+06 1.15212      Lin-Lin
 1E+07       1.21296      Lin-Lin
 1.01E+07    1.26974      Lin-Lin
 1.02E+07    1.32259      Lin-Lin
 1.03E+07    1.37167      Lin-Lin
 1.04E+07    1.41717      Lin-Lin
 1.05E+07    1.45929      Lin-Lin
 1.07E+07    1.53427      Lin-Lin
 1.09E+07    1.5983       Lin-Lin
 1.11E+07    1.65301      Lin-Lin
 1.13E+07    1.69984      Lin-Lin
 1.16E+07    1.75805      Lin-Lin
 1.19E+07    1.80495      Lin-Lin
 1.23E+07    1.85459      Lin-Lin
 1.28E+07    1.90238      Lin-Lin
 1.34E+07    1.94611      Lin-Lin
 1.39E+07    1.97301      Lin-Lin
 1.45E+07    1.98796      Lin-Lin
 1.5E+07     1.99         Lin-Lin
 1.56E+07    1.98456      Lin-Lin
 1.59E+07    1.97321      Lin-Lin
 1.62E+07    1.95112      Lin-Lin
 1.65E+07    1.91448      Lin-Lin
 1.67E+07    1.88062      Lin-Lin
 1.69E+07    1.83883      Lin-Lin
 1.71E+07    1.78933      Lin-Lin
 1.74E+07    1.70222      Lin-Lin
 1.77E+07    1.60325      Lin-Lin
 1.86E+07    1.28369      Lin-Lin
 1.89E+07    1.18317      Lin-Lin
 1.92E+07    1.08978      Lin-Lin
 1.95E+07    1.00442      Lin-Lin
 1.98E+07    0.927312     Lin-Lin
 2E+07       0.880372     Lin-Lin
 2.05E+07    0.777439     Lin-Lin
 2.1E+07     0.69262      Lin-Lin
 2.15E+07    0.6227       Lin-Lin
 2.2E+07     0.564799     Lin-Lin
 2.25E+07    0.516519     Lin-Lin
 2.3E+07     0.475941     Lin-Lin
 2.35E+07    0.441552     Lin-Lin
 2.4E+07     0.412164     Lin-Lin
 2.45E+07    0.386849     Lin-Lin
 2.5E+07     0.364874     Lin-Lin
 2.55E+07    0.345664     Lin-Lin
 2.6E+07     0.328756     Lin-Lin
 2.65E+07    0.315234     Lin-Lin
 2.7E+07     0.304438     Lin-Lin
 2.75E+07    0.294768     Lin-Lin
 2.8E+07     0.286032     Lin-Lin
 2.85E+07    0.278079     Lin-Lin
 2.9E+07     0.270788     Lin-Lin
 3E+07       0.257818     Lin-Lin
