 1.16067E+07 0            Lin-Lin
 1.2E+07     0.0725038    Lin-Lin
 1.25E+07    0.273305     Lin-Lin
 1.3E+07     0.487844     Lin-Lin
 1.35E+07    0.670103     Lin-Lin
 1.4E+07     0.82353      Lin-Lin
 1.45E+07    0.95614      Lin-Lin
 1.5E+07     1.07         Lin-Lin
 1.55E+07    1.145        Lin-Lin
 1.6E+07     1.18         Lin-Lin
 1.65E+07    1.21         Lin-Lin
 1.7E+07     1.23         Lin-Lin
 1.8E+07     1.24         Lin-Lin
 1.9E+07     1.24         Lin-Lin
 2E+07       1.23         Lin-Lin
